Posted Date,Reference Number,Payee,Address,Amount
07/12/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-22.63
06/25/2024,24906414176203023509736,"CRSCR.COM 888-7333920 RI","888-7333920   RI ",-39.90
06/24/2024,24906414175202966816158,"CRSCR.COM 888-7333920 RI","888-7333920   RI ",-39.90
06/22/2024,74073444174000000009206,"SPECIALSCOMEDY.COM ABU DHABI","",-3.30
06/21/2024,74073444173000000061984,"SPECIALSCOMEDY.COM ABU DHABI","",-3.30
06/20/2024,74073444172000000065028,"SPECIALSCOMEDY.COM ABU DHABI","",-3.30
06/20/2024,24906414171202714578880,"IIQ*IDENTITYIQ.COM 877-8754347 NV","877-8754347   NV ",-34.99
06/18/2024,24204294169002402401067,"PlayStation Network 650-2956540 CA","650-2956540   CA ",-16.32
06/15/2024,16706005710040466724407,"Online payment from CHK 7376","",200.00
